id,Sección,Sub-sección,Indicador,Categoría,Segmentación,Grupo,%,N Base,N,Página,Tabla,Fuente_tipo,Tipo_pregunta,N_Base_tipo,Nota
20,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Conozco gente cercana que participa de apuestas online pero yo nunca lo hice,Total,,45,11421,5139,16,Gráfico 3,Gráfico,Única,Explícita,
21,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca participé de apuestas online ni conozco gente que haya participado,Total,,27,11421,3084,16,Gráfico 3,Gráfico,Única,Explícita,
22,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca escuché hablar de apuestas online,Total,,12,11421,1371,16,Gráfico 3,Gráfico,Única,Explícita,
23,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Suelo participar o alguna vez participé de apuestas online,Género,Mujeres,8,5368,429,16,Tabla 2,Tabla,Única,Inferida,
24,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Conozco gente cercana que participa de apuestas online pero yo nunca lo hice,Género,Mujeres,47,5368,2523,16,Tabla 2,Tabla,Única,Inferida,
25,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca participé de apuestas online ni conozco gente que haya participado,Género,Mujeres,30,5368,1610,16,Tabla 2,Tabla,Única,Inferida,
26,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca escuché hablar de apuestas online,Género,Mujeres,15,5368,805,16,Tabla 2,Tabla,Única,Inferida,
27,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Suelo participar o alguna vez participé de apuestas online,Género,Varones,24,5710,1370,16,Tabla 2,Tabla,Única,Inferida,
28,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Conozco gente cercana que participa de apuestas online pero yo nunca lo hice,Género,Varones,43,5710,2455,16,Tabla 2,Tabla,Única,Inferida,
29,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca participé de apuestas online ni conozco gente que haya participado,Género,Varones,25,5710,1428,16,Tabla 2,Tabla,Única,Inferida,
30,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca escuché hablar de apuestas online,Género,Varones,9,5710,514,16,Tabla 2,Tabla,Única,Inferida,
31,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Suelo participar o alguna vez participé de apuestas online,Edad,13 años,6,1942,117,16,Tabla 2,Tabla,Única,Inferida,
32,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Conozco gente cercana que participa de apuestas online pero yo nunca lo hice,Edad,13 años,30,1942,583,16,Tabla 2,Tabla,Única,Inferida,
33,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca participé de apuestas online ni conozco gente que haya participado,Edad,13 años,45,1942,874,16,Tabla 2,Tabla,Única,Inferida,
34,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca escuché hablar de apuestas online,Edad,13 años,19,1942,369,16,Tabla 2,Tabla,Única,Inferida,
35,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Suelo participar o alguna vez participé de apuestas online,Edad,14 años,9,1942,175,16,Tabla 2,Tabla,Única,Inferida,
36,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Conozco gente cercana que participa de apuestas online pero yo nunca lo hice,Edad,14 años,42,1942,816,16,Tabla 2,Tabla,Única,Inferida,
37,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca participé de apuestas online ni conozco gente que haya participado,Edad,14 años,33,1942,641,16,Tabla 2,Tabla,Única,Inferida,
38,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca escuché hablar de apuestas online,Edad,14 años,16,1942,311,16,Tabla 2,Tabla,Única,Inferida,
39,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Suelo participar o alguna vez participé de apuestas online,Edad,15 años,18,2398,432,16,Tabla 2,Tabla,Única,Inferida,
40,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Conozco gente cercana que participa de apuestas online pero yo nunca lo hice,Edad,15 años,48,2398,1151,16,Tabla 2,Tabla,Única,Inferida,
41,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca participé de apuestas online ni conozco gente que haya participado,Edad,15 años,25,2398,600,16,Tabla 2,Tabla,Única,Inferida,
42,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca escuché hablar de apuestas online,Edad,15 años,10,2398,240,16,Tabla 2,Tabla,Única,Inferida,
43,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Suelo participar o alguna vez participé de apuestas online,Edad,16 años,18,2056,370,16,Tabla 2,Tabla,Única,Inferida,
44,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Conozco gente cercana que participa de apuestas online pero yo nunca lo hice,Edad,16 años,52,2056,1069,16,Tabla 2,Tabla,Única,Inferida,
45,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca participé de apuestas online ni conozco gente que haya participado,Edad,16 años,21,2056,432,16,Tabla 2,Tabla,Única,Inferida,
46,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca escuché hablar de apuestas online,Edad,16 años,9,2056,185,16,Tabla 2,Tabla,Única,Inferida,
47,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Suelo participar o alguna vez participé de apuestas online,Edad,17 años,23,2170,499,16,Tabla 2,Tabla,Única,Inferida,
48,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Conozco gente cercana que participa de apuestas online pero yo nunca lo hice,Edad,17 años,52,2170,1128,16,Tabla 2,Tabla,Única,Inferida,
49,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca participé de apuestas online ni conozco gente que haya participado,Edad,17 años,18,2170,391,16,Tabla 2,Tabla,Única,Inferida,
50,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca escuché hablar de apuestas online,Edad,17 años,7,2170,152,16,Tabla 2,Tabla,Única,Inferida,
51,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Suelo participar o alguna vez participé de apuestas online,Edad,18 años,24,1028,247,16,Tabla 2,Tabla,Única,Inferida,
52,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Conozco gente cercana que participa de apuestas online pero yo nunca lo hice,Edad,18 años,48,1028,493,16,Tabla 2,Tabla,Única,Inferida,
53,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca participé de apuestas online ni conozco gente que haya participado,Edad,18 años,22,1028,226,16,Tabla 2,Tabla,Única,Inferida,
54,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Nunca escuché hablar de apuestas online,Edad,18 años,6,1028,62,16,Tabla 2,Tabla,Única,Inferida,
55,Familiaridad con las apuestas online,,Experiencia con las apuestas online,Suelo participar o alguna vez participé de apuestas online,Región,Centro,14,,,17,,Texto,Única,No aplica,Único valor regional preciso citado en el texto; el resto de regiones se describe solo como rango 17%-19%.
56,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Quería probar suerte,Total,,89,1827,1626,17,Gráfico 4,Gráfico,Múltiple,Inferida,
57,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Es divertido,Total,,84,1827,1535,17,Gráfico 4,Gráfico,Múltiple,Inferida,
58,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),"Se gana plata fácil, rápido y sin esfuerzos",Total,,53,1827,968,17,Gráfico 4,Gráfico,Múltiple,Inferida,
59,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Vi publicidades de influencers o personas famosas que las recomiendan,Total,,50,1827,914,17,Gráfico 4,Gráfico,Múltiple,Inferida,
60,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),"Recibí un bono gratis, descuento, promociones y/o créditos para empezar",Total,,44,1827,804,17,Gráfico 4,Gráfico,Múltiple,Inferida,
61,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Puedo competir con otros/as amigos/as que también lo hacen,Total,,42,1827,767,17,Gráfico 4,Gráfico,Múltiple,Inferida,
62,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Tengo adultos/as cercano/as que lo hacen,Total,,40,1827,731,17,Gráfico 4,Gráfico,Múltiple,Inferida,
63,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Muchas personas cercanas lo hacen y no quería quedarme afuera,Total,,33,1827,603,17,Gráfico 4,Gráfico,Múltiple,Inferida,
64,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Me tentaron las publicidades de las casas de apuestas,Total,,39,1827,713,17,Gráfico 4,Gráfico,Múltiple,Inferida,
65,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Quería colaborar en los gastos de mi familia,Total,,16,1827,292,17,Gráfico 4,Gráfico,Múltiple,Inferida,
66,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Me ayuda a alcanzar la vida y el éxito que quiero tener,Total,,14,1827,256,17,Gráfico 4,Gráfico,Múltiple,Inferida,
67,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Estoy endeudado/a y quería recuperar lo que perdí,Total,,13,1827,238,17,Gráfico 4,Gráfico,Múltiple,Inferida,
68,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Quería probar suerte,Género,Mujeres,89,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
69,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Es divertido,Género,Mujeres,82,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
70,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),"Se gana plata fácil, rápido y sin esfuerzos",Género,Mujeres,53,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
71,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),"Recibí un bono gratis, descuento, promociones y/o créditos para empezar",Género,Mujeres,52,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
72,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Quería colaborar en los gastos de mi familia,Género,Mujeres,12,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
73,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Vi publicidades de influencers o personas famosas que las recomiendan,Género,Mujeres,59,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
74,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Puedo competir con otros/as amigos/as que también lo hacen,Género,Mujeres,36,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
75,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Tengo adultos/as cercano/as que lo hacen,Género,Mujeres,60,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
76,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Muchas personas cercanas lo hacen y no quería quedarme afuera,Género,Mujeres,53,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
77,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Quería probar suerte,Género,Varones,89,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
78,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Es divertido,Género,Varones,84,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
79,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),"Se gana plata fácil, rápido y sin esfuerzos",Género,Varones,53,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
80,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),"Recibí un bono gratis, descuento, promociones y/o créditos para empezar",Género,Varones,41,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
81,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Quería colaborar en los gastos de mi familia,Género,Varones,17,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
82,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Vi publicidades de influencers o personas famosas que las recomiendan,Género,Varones,47,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
83,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Puedo competir con otros/as amigos/as que también lo hacen,Género,Varones,44,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
84,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Tengo adultos/as cercano/as que lo hacen,Género,Varones,34,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
85,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Muchas personas cercanas lo hacen y no quería quedarme afuera,Género,Varones,35,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
86,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Quería probar suerte,Edad,13 años,75,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
87,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Es divertido,Edad,13 años,77,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
88,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),"Se gana plata fácil, rápido y sin esfuerzos",Edad,13 años,77,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
89,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),"Recibí un bono gratis, descuento, promociones y/o créditos para empezar",Edad,13 años,42,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
90,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Quería colaborar en los gastos de mi familia,Edad,13 años,27,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
91,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Vi publicidades de influencers o personas famosas que las recomiendan,Edad,13 años,44,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
92,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Puedo competir con otros/as amigos/as que también lo hacen,Edad,13 años,62,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
93,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Tengo adultos/as cercano/as que lo hacen,Edad,13 años,49,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
94,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Muchas personas cercanas lo hacen y no quería quedarme afuera,Edad,13 años,36,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
95,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Quería probar suerte,Edad,14 años,90,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
96,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Es divertido,Edad,14 años,77,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
97,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),"Se gana plata fácil, rápido y sin esfuerzos",Edad,14 años,65,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
98,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),"Recibí un bono gratis, descuento, promociones y/o créditos para empezar",Edad,14 años,31,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
99,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Quería colaborar en los gastos de mi familia,Edad,14 años,16,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
100,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Vi publicidades de influencers o personas famosas que las recomiendan,Edad,14 años,39,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
101,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Puedo competir con otros/as amigos/as que también lo hacen,Edad,14 años,53,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
102,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Tengo adultos/as cercano/as que lo hacen,Edad,14 años,57,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
103,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Muchas personas cercanas lo hacen y no quería quedarme afuera,Edad,14 años,44,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
104,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Quería probar suerte,Edad,15 años,89,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
105,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),Es divertido,Edad,15 años,84,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
106,Adolescentes con experiencia directa en apuestas online,Motivaciones para participar en apuestas online,Motivaciones para participar en apuestas online (Sí),"Se gana plata fácil, rápido y sin esfuerzos",Edad,15 años,51,,,19,Tabla 3,Tabla,Múltiple,No aplica,"Requiere la composición demográfica interna del subgrupo de exposición, que el informe no publica; para no encadenar dos inferencias porcentuales independientes se deja la Base y el N en blanco (ver metodología en el brief)."
